Número,"Valor estimado",Modalidade,Publicação,Tipo,Objeto,Abertura,Situação
2102.01/2025-PE,"325.966,67",PREGÃO,25/02/2025,"MENOR PREÇO","AQUISIÇÃO DE 01 VIATURA PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ.",17/03/2025,ABERTA
2002.01/2025-SRP,"7.752.510,00",PREGÃO,24/02/2025,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE SERVIÇOS NA LOCAÇÃO MÁQUINAS PESADAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE INFRA-ESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",14/03/2025,ABERTA
1302.01/2025-SRP,"567.591,50",PREGÃO,17/02/2025,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE PUBLICAÇÕES OFICIAIS, EM JORNAIS DE GRANDE CIRCULAÇÃO E DIÁRIOS OFICIAIS, DESTINADOS AS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",12/03/2025,ABERTA
1802.01/2025-SRP,"10.497.184,32",PREGÃO,20/02/2025,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE SERVIÇOS NA LOCAÇÃO DE VEÍCULOS AUTOMOTORES, PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",11/03/2025,ABERTA
1702.01/2025-SRP,"1.112.719,40",PREGÃO,19/02/2025,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE SERVIÇOS TÉCNICOS NA ÁREA DA SAÚDE, NA REALIZAÇÃO DE EXAMES ESPECÍFICOS DE IMAGEM, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE ACARAÚ/CE.",10/03/2025,ABERTA
1402.01/2025-PE,"2.533.823,57",PREGÃO,18/02/2025,"MENOR PREÇO","AQUISIÇÃO DE MATERIAL GRÁFICO, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",07/03/2025,ABERTA
3001.01/2025-CE,"3.226.180,47",CONCORRÊNCIA,03/02/2025,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE CONSTRUÇÃO DO CENTRO DE PARTO NORMAL NO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE SAÚDE DE ACARAÚ/CE. PROPOSTA Nº 11278643000124003",20/02/2025,ABERTA
2801.01/2025-CE,"3.346.455,19",CONCORRÊNCIA,30/01/2025,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE PAVIMENTAÇÃO DA RUA JOSÉ JÚLIO LOUZADA NO MUNICÍPIO DE ACARAÜ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE CONVÊNIO Nº 180/2024 - SOP- MAPP 2986.",18/02/2025,ABERTA
2701.01/2025-CE,"1.636.970,32",CONCORRÊNCIA,29/01/2025,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REVITALIZAÇÃO E URBANIZAÇÃO NA PRAIA DOS MONTEIROS, MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE CONTRATO DE REPASSSE 961660/2024/MTUR.",14/02/2025,ABERTA
"2301 .01/2025-CE","5.581.083,29",CONCORRÊNCIA,27/01/2025,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE CONSTRUÇÃO DE PRAÇAS NO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE CONVÊNIO Nº 183/2024 - SOP - MAPP 2449.",12/02/2025,ABERTA
1301.01/2025-PE,"158.947,37",PREGÃO,15/01/2025,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS, MATERIAL PERMANENTE E INSUMOS DE USO VETERINÁRIO PARA O FUNCIONAMENTO DO CASTRAMÓVEL, JUNTO A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",07/02/2025,FECHADA
1601.01/2025-SRP,"23.688.577,09",PREGÃO,17/01/2025,"MENOR PREÇO","REGISTRO DE PREÇO PARA FUTURA E EVENTUAIS AQUISIÇÕES DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE",05/02/2025,ABERTA
1001.01/2024-SRP,"29.731.652,29",PREGÃO,14/01/2025,"MENOR PREÇO","REGISTRO DE PREÇO PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAS DE LIMPEZA PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ",30/01/2025,ABERTA
1312.01/2024-CE,"1.333.109,97",CONCORRÊNCIA,17/12/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE PAVIMENTAÇÃO DE ESTRADAS VICINAIS NO DISTRITO DE LAGOA DO CARNEIRO NO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE. CONVÊNIO N° 959402/2024 - MIDR.",08/01/2025,FECHADA
1612.01/2024-SRP,"5.676.604,55",PREGÃO,18/12/2024,"MENOR PREÇO","REGISTRO DE PREÇOS AQUISIÇÃO DE KITS DE LIVROS E MATERIAIS DIDÁTICOS PARA ALUNOS E PROFESSORES DA REDE MUNICIPAL DE ENSINO, JUNTO À SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",03/01/2025,FECHADA
0912.01/2024-PE,"25.537.875,05",PREGÃO,12/12/2024,"MENOR PREÇO","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AO ATENDIMENTO DOS PROGRAMAS DE DISTRIBUIÇÃO DE MERENDA ESCOLAR DA REDE PÚBLICA DE ENSINO DO MUNICÍPIO DE ACARAÚ/CE.",27/12/2024,FECHADA
2911.01/2024-SRP,"8.741.125,60",PREGÃO,03/12/2024,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAIS AQUISIÇÕES DE GÊNEROS ALIMENTÍCIOS PARA ATENDER ÀS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ.",17/12/2024,FECHADA
2511.01/2024-CE,"12.090.368,40",CONCORRÊNCIA,27/11/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE COLETA E DESTINAÇÃO FINAL DE RESÍDUOS SÓLIDOS E LIMPEZA PÚBLICA URBANA DO MUNICÍPIO DE ACARAÚ/CE.",16/12/2024,FECHADA
2211.01/2024-SRP,"38.286.115,13",PREGÃO,26/11/2024,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FURURAS E EVENTUAIS AQUISIÇÕES DE MATERIAL MÉDICO-HOSPITALAR E MEDICAMENTOS PARA ATENDER AS NECESSIDADES DAS UNIDADES DE SAÚDE, VINCULADAS A SECRETARIA DA SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",13/12/2024,FECHADA
2111.01/2024-PE,"6.869.998,00",PREGÃO,25/11/2024,"MENOR PREÇO","AQUISIÇÃO DE MATERIAL PERMANENTE, COMPONENTES, PEÇAS E SUPRIMENTOS DE INFORMÁTICA PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE .",11/12/2024,FECHADA
