Número,Valor estimado,Modalidade,Publicação,Tipo,Objeto,Abertura,Situação,Secretaria
2102.01/2025-PE,325966.67,PREGÃO,2025-02-25,MENOR PREÇO,AQUISIÇÃO DE 01 VIATURA PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ.,2025-03-17,ABERTA,SECRETARIA DE SEGURANÇA E TRÂNSITO
2002.01/2025-SRP,7752510.0,PREGÃO,2025-02-24,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE SERVIÇOS NA LOCAÇÃO MÁQUINAS PESADAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE INFRA-ESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",2025-03-14,ABERTA,SECRETARIA DE INFRAESTRUTURA
1302.01/2025-SRP,567591.5,PREGÃO,2025-02-17,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE PUBLICAÇÕES OFICIAIS, EM JORNAIS DE GRANDE CIRCULAÇÃO E DIÁRIOS OFICIAIS, DESTINADOS AS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",2025-03-12,ABERTA,SECRETARIAS DIVERSAS
1802.01/2025-SRP,10497184.32,PREGÃO,2025-02-20,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE SERVIÇOS NA LOCAÇÃO DE VEÍCULOS AUTOMOTORES, PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",2025-03-11,ABERTA,SECRETARIA DE INFRAESTRUTURA
1702.01/2025-SRP,1112719.4,PREGÃO,2025-02-19,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE SERVIÇOS TÉCNICOS NA ÁREA DA SAÚDE, NA REALIZAÇÃO DE EXAMES ESPECÍFICOS DE IMAGEM, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE ACARAÚ/CE.",2025-03-10,ABERTA,SECRETARIA DE SAÚDE
1402.01/2025-PE,2533823.57,PREGÃO,2025-02-18,MENOR PREÇO,"AQUISIÇÃO DE MATERIAL GRÁFICO, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2025-03-07,ABERTA,SECRETARIA DE SAÚDE
3001.01/2025-CE,3226180.47,CONCORRÊNCIA,2025-02-03,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE CONSTRUÇÃO DO CENTRO DE PARTO NORMAL NO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE SAÚDE DE ACARAÚ/CE. PROPOSTA Nº 11278643000124003",2025-02-20,ABERTA,SECRETARIA DE INFRAESTRUTURA
2801.01/2025-CE,3346455.19,CONCORRÊNCIA,2025-01-30,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE PAVIMENTAÇÃO DA RUA JOSÉ JÚLIO LOUZADA NO MUNICÍPIO DE ACARAÜ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE CONVÊNIO Nº 180/2024 - SOP- MAPP 2986.",2025-02-18,ABERTA,SECRETARIA DE INFRAESTRUTURA
2701.01/2025-CE,1636970.32,CONCORRÊNCIA,2025-01-29,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REVITALIZAÇÃO E URBANIZAÇÃO NA PRAIA DOS MONTEIROS, MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE CONTRATO DE REPASSSE 961660/2024/MTUR.",2025-02-14,ABERTA,SECRETARIA DE INFRAESTRUTURA
2301 .01/2025-CE,5581083.29,CONCORRÊNCIA,2025-01-27,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE CONSTRUÇÃO DE PRAÇAS NO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE CONVÊNIO Nº 183/2024 - SOP - MAPP 2449.",2025-02-12,ABERTA,SECRETARIA DE INFRAESTRUTURA
